rank,parcel_opportunity_score,owner,prop_id,situs,acres,node_name,node_edge_miles,frontage_roads,corner_signal,raw_score,future_residential_lots_nearby,aadt,aadt_5yr_growth_pct,nearest_retail_catalyst,flood_pct,floodway_pct,future_land_use,assessed_value,assessed_value_per_acre,land_value_per_acre,last_deed_date,hold_years,utility_confidence,why_this_tract,verification_notes
21,83.0,MILES RANCE C,1280284,LOWER SEGUIN RD,7.75,FM 1516 / I-10 East,0.453,LOWER SEGUIN RD,NO,100,2930.2,6664,58.5,I-10 / Loop 1604 East H-E-B,0.0,0.0,,426620.0,55048.0,55048.0,2025-06-06,1.3,UNKNOWN,major-road frontage · within ½ mile of priority intersection · 2930 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
22,82.9,MMP VENTURES LLC,1058644,6735 W LOOP 1604,14.68,Loop 1604 / Green Rd,0.146,AUTUMN FLOWER,NO,100,3928.8,14472,3.7,I-10 / Loop 1604 East H-E-B,0.0,0.0,Neighborhood Commercial / I-10 East Corridor,951558.0,64820.0,64820.0,2007-05-09,19.4,UNKNOWN,road frontage · within ¼ mile of priority intersection · 3928 weighted future residential lots nearby · 1.9 mi from I-10 / Loop 1604 East H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
23,82.9,SEMLINGER PROPERTIES LLC  ETAL,312027,E LOOP 1604,15.48,Loop 1604 / Green Rd,0.159,COPPERGATE,NO,100,3928.8,2381,7.3,I-10 / Loop 1604 East H-E-B,0.0,0.0,,1423490.0,91957.0,91957.0,2019-02-15,7.6,UNKNOWN,road frontage · within ¼ mile of priority intersection · 3928 weighted future residential lots nearby · 1.6 mi from I-10 / Loop 1604 East H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
24,82.9,PINNACLE MONTESSORI FRANCHISE COMPANY,1340123,FM 1957,4.3,Texas Research Pkwy / SH 211,0.496,POTRANCO RD,NO,100,10264.3,13653,71.7,Culebra / SH 211 H-E-B,0.0,0.0,,2100000.0,488372.0,488372.0,2021-11-19,4.8,PROXY,major-road frontage · within ½ mile of priority intersection · 10264 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
25,82.9,STANTON BELL REAL ESTATE LTD,310261,10915  LOWER SEGUIN RD,92.3,Loop 1604 / Green Rd,0.667,LOWER SEGUIN RD | CITADEL PEAK | TATES DR,STRONG,100,3928.8,2381,7.3,I-10 / Loop 1604 East H-E-B,0.0,0.0,Military / Randolph AFB,4302070.0,46610.0,46610.0,2010-01-01,16.7,UNKNOWN,corner exposure on a major road · within 1 mile of priority intersection · 3928 weighted future residential lots nearby · 1.7 mi from I-10 / Loop 1604 East H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
26,82.4,DARIO PROPERTIES LTD,1307782,14988  POTRANCO RD,5.82,Texas Research Pkwy / SH 211,0.693,POTRANCO RD,NO,100,10264.3,22346,0,Culebra / SH 211 H-E-B,0.0,0.0,Suburban Tier / West,990000.0,170103.0,170103.0,2019-05-06,7.4,PROXY,major-road frontage · within 1 mile of priority intersection · 10264 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
27,82.1,BEXAR COUNTY,1371101,CITY BASE LANDING,6.0,Louis Bauer Dr / Laser Dr (Brooks),0.71,CITY-BASE LANDING | AVIATION LANDING,YES,100,2689.8,28899,-8.7,H-E-B Foster campus,0.0,0.0,Business/Innovation Mixed-Use / Brooks Area Regional Center Plan | Business/Innovation Mixed-Use / Brooks Area Regional Center Plan,0.0,0.0,0.0,2022-04-14,4.4,PROXY,road frontage · within 1 mile of priority intersection · 2689 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
28,82.0,BD GREAVES PARTNERSHIP LTD,619103,8835  GREAVES LN,18.58,FM 1516 / I-10 East,0.169,GREAVES LN,NO,100,2930.2,6664,58.5,I-10 / Loop 1604 East H-E-B,0.0,0.0,Military / Randolph AFB,355000.0,19107.0,19107.0,2014-11-03,11.9,UNKNOWN,road frontage · within ¼ mile of priority intersection · 2930 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
29,81.7,POINTON TAMMY K,209214,15596 W FM 471,4.82,Culebra Rd / SH 211,0.467,CATALINA PORT | Unnamed road,YES,100,8293.8,10000,0,Culebra / SH 211 H-E-B,0.0,0.0,,205000.0,42531.0,42531.0,2007-05-24,19.3,UNKNOWN,road frontage · within ½ mile of priority intersection · 8293 weighted future residential lots nearby · 0.6 mi from Culebra / SH 211 H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
30,81.7,BEXAR LAND TRUST INC,309914,11550  LOWER SEGUIN RD,19.16,FM 1516 / I-10 East,0.174,LOWER SEGUIN RD,NO,100,2930.2,6664,58.5,I-10 / Loop 1604 East H-E-B,0.0,0.0,,100000.0,5219.0,5219.0,2017-05-02,9.4,UNKNOWN,road frontage · within ¼ mile of priority intersection · 2930 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
